epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1909.15,0.53187,0.45803,1.12936,0.97618,1,0.995,0.76192,0.95096,0.62707,2.14836,0.00045285,0.00045285,0.00045285
71,1948.53,0.52511,0.43684,1.09798,0.97618,1,0.995,0.77419,0.97054,0.62758,2.16961,0.000438703,0.000438703,0.000438703
72,1984,0.47459,0.42458,1.08666,0.97735,1,0.995,0.80124,0.90706,0.60122,1.99532,0.000424556,0.000424556,0.000424556
73,2015.79,0.49074,0.43213,1.09802,0.97213,1,0.995,0.80271,0.89272,0.57444,1.94446,0.000410409,0.000410409,0.000410409
74,2046.04,0.46592,0.3836,1.07058,0.95357,1,0.995,0.79323,0.87878,0.57235,1.92515,0.000396262,0.000396262,0.000396262
75,2082.19,0.46035,0.41017,1.0897,0.90797,0.99848,0.995,0.83599,0.87781,0.59642,1.95382,0.000382115,0.000382115,0.000382115
76,2119.39,0.47805,0.41159,1.08794,0.88452,0.99301,0.995,0.83175,0.89376,0.61321,2.04539,0.000367967,0.000367967,0.000367967
77,2153.09,0.42462,0.37791,1.05861,0.88567,0.9931,0.995,0.80692,0.89288,0.63509,2.12335,0.00035382,0.00035382,0.00035382
78,2187.14,0.47778,0.39682,1.09985,0.90235,0.98055,0.995,0.79866,0.90176,0.62935,2.14027,0.000339673,0.000339673,0.000339673
79,2219.18,0.43465,0.37843,1.05725,0.92016,0.95491,0.995,0.79049,0.91271,0.61688,2.06836,0.000325526,0.000325526,0.000325526
80,2258.29,0.46028,0.41924,1.08102,0.91999,0.9529,0.995,0.78511,0.94579,0.63295,2.08393,0.000311379,0.000311379,0.000311379
81,2287.96,0.43811,0.39504,1.04798,0.9029,0.98351,0.995,0.75735,0.979,0.61771,2.1371,0.000297232,0.000297232,0.000297232
82,2315.13,0.42009,0.38396,1.03261,0.90903,0.98935,0.995,0.76764,0.98995,0.60245,2.17223,0.000283085,0.000283085,0.000283085
83,2344.48,0.37832,0.3649,1.03773,0.93976,0.99218,0.995,0.79803,0.94191,0.56622,2.06242,0.000268938,0.000268938,0.000268938
84,2372.52,0.42881,0.39441,1.07459,0.97409,1,0.995,0.81424,0.90952,0.52891,2.02148,0.000254791,0.000254791,0.000254791
85,2404.58,0.42672,0.38278,1.05925,0.98319,1,0.995,0.80199,0.93581,0.51579,2.09567,0.000240644,0.000240644,0.000240644
86,2433.3,0.44487,0.386,1.07255,0.98443,1,0.995,0.77705,0.95691,0.51191,2.17593,0.000226497,0.000226497,0.000226497
87,2458.45,0.40219,0.36327,1.02986,0.98467,1,0.995,0.7809,0.96048,0.51737,2.20641,0.000212349,0.000212349,0.000212349
88,2483.19,0.39363,0.35815,1.0137,0.98562,1,0.995,0.79259,0.951,0.51461,2.21017,0.000198202,0.000198202,0.000198202
